imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt1783232,Fetih 1453,Fetih 1453,2012,2/16/2012,"Action, Drama, History",162,Turkey,Turkish,Faruk Aksoy,"Melih Esat Acil, Atilla Engin",Aksoy Film,"Devrim Evin, Ibrahim Celikkol, Dilek Serbest, Cengiz Coskun, Erden Alkan, Recep Aktug, Raif Hikmet Cam, Naci AdigÃ¼zel, Sedat Mert, Mustafa Atilla Kunt, Ozcan Aliser, Yilman Babaturk, Murat Sezal, Faik Aksoy, Huseyin Santur","After the death of his father Murat II, Mehmet II ascends to the Ottoman throne. After braving internal and external enemies, he decides to complete what he was destined to do - conquer Constantinople.",6.7,56173,$18 ,"$35,730 ","$35,797,045 ",,154,21
tt0154506,Following,Following,1998,8/25/2000,"Crime, Mystery, Thriller",69,UK,English,Christopher Nolan,Christopher Nolan,Next Wave Films,"Jeremy Theobald, Alex Haw, Lucy Russell, John Nolan, Dick Bradsell, Gillian El-Kadi, Jennifer Angel, Nicolas Carlotti, Darren Ormandy, Guy Greenway, Tassos Stevens, Tristan Martin, Rebecca James, Paul Mason, David Bovill",A young writer who follows strangers for material meets a thief who takes him under his wing.,7.5,84550,"$6,000 ","$48,482 ","$48,482 ",60,208,137
tt0104815,"El Mariachi, suonatore di chitarra",El mariachi,1992,9/3/1993,"Action, Crime, Thriller",81,"Mexico, USA",Spanish,Robert Rodriguez,Robert Rodriguez,Columbia Pictures,"Carlos Gallardo, Consuelo GÃ³mez, Jaime de Hoyos, Peter Marquardt, Reinol Martinez, Ramiro GÃ³mez, JesÃºs LÃ³pez, Luis BarÃ³, Oscar Fabila, Poncho RamÃ³n, Fernando MartÃ­nez, Manuel Acosta, Walter Vargas, Roberto Martinez, Virgen Delgado",A traveling mariachi is mistaken for a murderous criminal and must hide from a gang bent on killing him.,6.9,62362,"$7,000 ","$2,040,920 ","$2,040,920 ",73,139,60
tt0390384,Primer,Primer,2004,5/27/2005,"Drama, Sci-Fi, Thriller",77,USA,"English, French",Shane Carruth,Shane Carruth,ERBP,"Shane Carruth, David Sullivan, Casey Gooden, Anand Upadhyaya, Carrie Crawford, Jay Butler, John Carruth, Juan Tapia, Ashley Warren, Samantha Thomson, Chip Carruth, Delaney Price, Jack Pyland, Keith Bradshaw, Ashok Upadhyaya","Four friends/fledgling entrepreneurs, knowing that there's something bigger and more innovative than the different error-checking devices they've built, wrestle over their new invention.",6.9,96229,"$7,000 ","$424,760 ","$545,436 ",68,462,134
tt0255094,Il cerchio,Dayereh,2000,9/9/2000,Drama,90,"Iran, Italy, Switzerland",Persian,Jafar Panahi,"Kambuzia Partovi, Jafar Panahi","Direction du DÃ©veloppement et de la CoopÃ©ration (DDC), DÃ©partement FÃ©dÃ©ral des Affaires EtrangÃ¨res","Nargess Mamizadeh, Maryiam Palvin Almani, Mojgan Faramarzi, Elham Saboktakin, Monir Arab, Maedeh Tahmasebi, Maryam Shayegan, Khadijeh Moradi, Negar Ghadyani, Solmaz Panahi, Fereshteh Sadre Orafaiy, Fatemeh Naghavi, Ataollah Moghadas, Abbas Alizadeh",Various women struggle to function in the oppressively sexist society of contemporary Iran.,7.4,5634,"$10,000 ","$484,472 ","$799,953 ",85,28,74
tt1179904,Paranormal Activity,Paranormal Activity,2007,2/5/2010,"Horror, Mystery, Thriller",86,USA,English,Oren Peli,Oren Peli,Solana Films,"Katie Featherston, Micah Sloat, Mark Fredrichs, Amber Armstrong, Ashley Palmer","After moving into a suburban home, a couple becomes increasingly disturbed by a nightly demonic presence.",6.3,217252,"$15,000 ","$107,918,810 ","$193,355,800 ",68,1267,303
tt1242599,Bellflower,Bellflower,2011,3/21/2012,"Action, Drama, Romance",106,USA,English,Evan Glodell,Evan Glodell,Coatwolf Productions,"Evan Glodell, Jessie Wiseman, Tyler Dawson, Rebekah Brandes, Vincent Grashaw, Zack Kraus, Keghan Hurst, Alexandra Boylan, Bradshaw Pruitt, Brian Thomas Evans, Britta Jacobellis, Ceaser Flores, Chris Snyder, Dan Dulle, Jon Huck","Two friends spend all their free time building flame-throwers and weapons of mass destruction in hopes that a global apocalypse will occur and clear the runway for their imaginary gang ""Mother Medusa"".",6.4,7527,"$17,000 ","$168,226 ","$172,935 ",72,55,260
tt10214826,Agent Sai Srinivasa Athreya,Agent Sai Srinivasa Athreya,2019,5/31/2019,"Action, Comedy, Crime",148,India,Telugu,Swaroop Rsj,"Swaroop Rsj, Swaroop Rsj",Swadharm Entertainment,"Naveen Polishetty, Shruti Sharma, Shredha Rajagopalan, Darbha Appaji Ambarisha, Suhas, Ramdutt, Krishneswara Rao, Viswanath, Chanakya Tejas, Manikanta Varanasi, Abhilash, Anunya, Bala, Baswa, Chakri",Agent Sai Srinivasa Athreya is an authentic humorous investigative thriller revolving around the adventures of a detective based out of Nellore.,8.5,5585,"$20,000 ",,"$4,454 ",,96,2
tt0102943,Slacker,Slacker,1990,7/5/1991,"Comedy, Drama",97,USA,English,Richard Linklater,Richard Linklater,Detour Filmproduction,"Richard Linklater, Rudy Basquez, Jean Caffeine, Jan Hockey, Stephan Hockey, Mark James, Samuel Dietert, Bob Boyd, Terrence Kirk, Keith McCormack, Jennifer Schaudies, Dan Kratochvil, Maris Strautmanis, Brecht Andersch, Tommy Pallotta","A day in the life of Austin, Texas as the camera roams from place to place and provides a brief look at the overeducated, the social misfits, the outcasts and the oddballs.",7.1,19404,"$23,000 ","$1,228,108 ","$1,228,108 ",69,88,69
tt0119361,Nella societÃ  degli uomini,In the Company of Men,1997,8/1/1997,"Comedy, Drama",97,"Canada, USA","English, American Sign Language",Neil LaBute,"Neil LaBute, Neil LaBute",Alliance Atlantis Communications,"Aaron Eckhart, Stacy Edwards, Matt Malloy, Michael Martin, Mark Rector, Chris Hayes, Jason Dixie, Emily Cline, Roxanne Butler, Tahirah Essix, Julia Henkel, Sara Pauley, Cheryl Russell, Jasen Savage, Lynette Smith","Two business executives--one an avowed misogynist, the other recently emotionally wounded by his love interest--set out to exact revenge on the female gender by seeking out the most innocent, uncorrupted girl they can find and ruining her life.",7.2,12939,"$25,000 ","$2,804,473 ","$2,804,473 ",81,194,62
